HosId,HosName,Hname,pasw,Email,Location,Pin,Contact,DOE,TIME,ABBV,HosName
10027,Shree Balaji Action Medical Institute,SBAMI10027,963258767,SBAMI@gmail.com,"FC-34, A-4, Paschim Vihar",56738,987653149,01-10-2002,14:30:51,SBAMI,Shree Balaji Action Medical Institute
10028,"Max Super Specialty Hospital, Heart and Vascular Institute",MSSHHVII10028,963258768,MSSHHVII@gmail.com,"2, Press Enclave Road, Saket",56739,987653150,02-12-2004,15:30:51,MSSHHVII,"Max Super Specialty Hospital, Heart and Vascular Institute"
10029,Dr. BL Kapoor Memorial Hospital,BLM10029,963258769,BLM@gmail.com,"B.L.K. Memorial Hospital, 5 Pusa Road",56740,987653151,03-02-2007,16:30:51,BLM,Dr. BL Kapoor Memorial Hospital
10030,Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC),RCNC10030,963258770,RCNC@gmail.com,"Kalra Hospital SRNCNC, A-4, Kirti Nagar",56741,987653152,01-03-2007,17:30:51,RCNC,Kalra Hospital and Shri Ram Cardiothoracic and Neurosciences Center (SRCNC)
10031,Park Hospital,PA10031,963258771,PA@gmail.com,"Keshopur Sabzi Mandi, New Chaukhandi, Vishnu Garden",56742,987653153,27-03-2007,18:30:51,PA,Park Hospital
10032,Fortis Hospital,FH10032,963258772,FH@gmail.com,"A- Block, Shalimar Bagh",56743,987653154,22-04-2007,19:30:51,FH,Fortis Hospital
10033,Bhagat Chandra Hospital,BCH10033,963258773,BCH@gmail.com,"RZF-1/1, Mahavir Enclave, Palam",56744,987653155,18-05-2007,20:30:51,BCH,Bhagat Chandra Hospital
10034,Indian Spinal Injuries Centre,ISIC10034,963258774,ISIC@gmail.com,"C-8, Vasant Kunj",56745,987653156,13-06-2007,21:30:51,ISIC,Indian Spinal Injuries Centre
10035,Saket City Hospital,SAK10035,963258775,SAK@gmail.com,"Mandir Marg, Press Enclave Road, Saket",56746,987653157,09-07-2007,22:30:51,SAK,Saket City Hospital
10036,Bensups Hospital,BH10036,963258776,BH@gmail.com,"Bansups Avenue, Sector ? 12, Dwarka",56747,987653158,04-08-2007,23:30:51,BH,Bensups Hospital
10037,Indian Red Cross Society,IRCS10037,963258777,IRCS@gmail.com,"1, Red Cross Road, Opposite Parliament House-New Delhi",56748,987653159,30-08-2007,00:30:51,IRCS,Indian Red Cross Society
10038,Rockland Hospital Qutab,RHQ10038,963258778,RHQ@gmail.com,"B, 33-34, Qutab Institutional Area",56749,987653160,25-09-2007,01:30:51,RHQ,Rockland Hospital Qutab
10039,Primus Ortho and Spine Hospital,POS10039,963258779,POS@gmail.com,"Primus Super Speciality Hospital,02, Chandragupta Marg, Lower Ground Floor, Chanakyapuri",56750,987653161,21-10-2007,02:30:51,POS,Primus Ortho and Spine Hospital
10040,Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd),MSSHAUMHCI10040,963258780,MSSHAUMHCI@gmail.com,"FC-50, Block C and D, Shalimar Bagh",56751,987653162,16-11-2007,03:30:51,MSSHAUMHCI,Max Super Specialty Hospital (A Unit of Max Health Care Institute Ltd)
10041,Hakeem Abdul Hameed Centenary Hospital,HAHCH10041,963258781,HAHCH@gmail.com,"Jamia Hamdard, Hamdard Nagar",56752,987653163,12-12-2007,04:30:51,HAHCH,Hakeem Abdul Hameed Centenary Hospital
10042,White Cross Blood Bank,WCBB10042,963258782,WCBB@gmail.com,"A-60, East Of Kailash",56753,987653164,07-01-2008,05:30:51,WCBB,White Cross Blood Bank
10043,Mission Jan Jagriti,MIS10043,963258783,MIS@gmail.com,"MGS Hospital, Rohtak road, 35/37 West Punjabi Bagh",56754,987653165,02-02-2008,06:30:51,MIS,Mission Jan Jagriti
10044,Pitampura Blood Bank,PIT10044,963258784,PIT@gmail.com,"B-294, Saraswati Vihar, Outer Ring Road, Pitampura",56755,987653166,28-02-2008,07:30:51,PIT,Pitampura Blood Bank
10045,Lions Blood Bank,LBB10045,963258785,LBB@gmail.com,"A.K.-100, Shalimar Bagh",56756,987653167,25-03-2008,08:30:51,LBB,Lions Blood Bank
10046,Batra Hospital and Medical Research Centre,BHMR10046,963258786,BHMR@gmail.com,"1,Tuglakabad Institutional Area, Mehrauli Badarpur Road, Tughlakabad",56757,987653168,20-04-2008,09:30:51,BHMR,Batra Hospital and Medical Research Centre
10047,Blood Bank Organisation,BBO10047,963258787,BBO@gmail.com,"11/6B Shanti Chamber, Opposite Telephone Exchange, Pusa Road",56758,987653169,16-05-2008,10:30:51,BBO,Blood Bank Organisation
10048,Rotary Blood Bank,RBB10048,963258788,RBB@gmail.com,"56-57,Institutional Area, Tughlakabad , next to batra hospital",56759,987653170,11-06-2008,11:30:51,RBB,Rotary Blood Bank
10049,"Mission Jan Jagriti Blood Bank, Altius Sonia Hospital",MMJJBBSS10049,963258789,MMJJBBSS@gmail.com,"1, Altius Sonia Hospital, Basement, 1, Gulshan Park, Rohtak Road, Nangloi metro station, Metro Piller Number 444",56760,987653171,07-07-2008,12:30:51,MMJJBBSS,"Mission Jan Jagriti Blood Bank, Altius Sonia Hospital"
10050,Dharamshila Cancer Foundation and Research Centre,DCFRCC10050,963258790,DCFRCC@gmail.com,"Vasundhara Enclave, Mayur Vihar.",56761,987653172,02-08-2008,13:30:51,DCFRCC,Dharamshila Cancer Foundation and Research Centre
10051,Sir Ganga Ram Hospital,SGR10051,963258791,SGR@gmail.com,"Sir Ganga Ram Road, Old Rajendra NagarNew Delhi- 110060",56762,987653173,28-08-2008,14:30:51,SGR,Sir Ganga Ram Hospital
10052,Sant Parmanand Hospital,SPH10052,963258792,SPH@gmail.com,"18, Shyamnath Marg, Civil Lines",56763,987653174,23-09-2008,15:30:51,SPH,Sant Parmanand Hospital
10053,"R. B. T. C (wz),Deen Dayal Upadhyay Hospital",RBTCDDUH10053,963258793,RBTCDDUH@gmail.com,"Hari Nagar, Near clock tower",56764,987653175,19-10-2008,16:30:51,RBTCDDUH,"R. B. T. C (wz),Deen Dayal Upadhyay Hospital"
10054,Jai Prakash Narayan Apex Trauma Centre,JPNAT10054,963258794,JPNAT@gmail.com,"Jai Prakash Narayen Apex Trauma Centre, AIIMS, Raj Nagar,Ring Road",56765,987653176,14-11-2008,17:30:51,JPNAT,Jai Prakash Narayan Apex Trauma Centre
10055,Brahm Shakti Hospital and Research Centre,BSHR10055,963258795,BSHR@gmail.com,"Brahma Shakti Hospital, U-1/78, Budh Vihar",56766,987653177,10-12-2008,18:30:51,BSHR,Brahm Shakti Hospital and Research Centre
10056,Max Super Specialty Hospital (Max Balaji Hospital),MSSPECIABBHOSP10056,963258796,MSSPECIABBHOSP@gmail.com,"A unit of Balaji Medical and Diagnostic Research Centre, 108-A, Indraprastha Extension, Opposite Sanchar Apartment, Patparganj",56767,987653178,05-01-2009,19:30:51,MSSPECIABBHOSP,Max Super Specialty Hospital (Max Balaji Hospital)
10057,Saroj Hospital and Heart Institute Run by Ganesh Das Chowla Charitable Trust (Regd.),SHHIRGDCCT10057,963258797,SHHIRGDCCT@gmail.com,"Saroj Hospital and Heart Institute, Sector-14, Rohini, Madhuban Chowk",56768,987653179,31-01-2009,20:30:51,SHHIRGDCCT,Saroj Hospital and Heart Institute Run by Ganesh Das Chowla Charitable Trust (Regd.)
10058,Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.),FFLRDHAFLRDCT10058,963258798,FFLRDHAFLRDCT@gmail.com,"Sector-B, Pocket-1, Aruna Asaf Ali Marg, Vasant Kunj",56769,987653180,26-02-2009,21:30:51,FFLRDHAFLRDCT,Fortis Flt. Lt. Rajan Dhall Hospital (A unit of Flt. Lt. Ranjan Dhall Charitable Trust Regd.)
10059,Rajiv Gandhi Cancer Institute and Research Center,RAJ10059,963258799,RAJ@gmail.com,"Rajiv Gandhi Cancer Institute, Sector-V Rohini",56770,987653181,24-03-2009,22:30:51,RAJ,Rajiv Gandhi Cancer Institute and Research Center
10060,Apollo Hospital,AOP10060,963258800,AOP@gmail.com,"Indraprastha Medical Corporation, Sarita Vihar",56771,987653182,19-04-2009,23:30:51,AOP,Apollo Hospital
10061,Fortis Escort Heart Institute,FOR10061,963258801,FOR@gmail.com,"Fortis Escort Heart Institute, Okhla Road",56772,987653183,15-05-2009,00:30:51,FOR,Fortis Escort Heart Institute
10062,Northern Railway Central Hospital,NRC10062,963258802,NRC@gmail.com,"Northern Railway Hospital, Basant Lane",56773,987653184,10-06-2009,01:30:51,NRC,Northern Railway Central Hospital
10063,Jaipur Golden Hospital,JGH10063,963258803,JGH@gmail.com,"2, Industrial Area, Rohini, Sector-III",56774,987653185,06-07-2009,02:30:51,JGH,Jaipur Golden Hospital
10064,Dr.Hedgewar ArogayaSansthan,DR10064,963258804,DR@gmail.com,"Dr. Hedgewar Arogya Sansthan, F-18, Karkardooma",56775,987653186,01-08-2009,03:30:51,DR,Dr.Hedgewar ArogayaSansthan
10065,Central Poly Clinic Blood Bank,CPCBB10065,963258805,CPCBB@gmail.com,"3, Gangan Vihar, Shahdara Road",56776,987653187,27-08-2009,04:30:51,CPCBB,Central Poly Clinic Blood Bank
10066,Lions Blood Bank,LIO10066,963258806,LIO@gmail.com,"369, II Floor, FIE, Near M.C.D. Office, Patparganj Industrial Area,",56777,987653188,22-09-2009,05:30:51,LIO,Lions Blood Bank
10067,Pushpavati Shinghania Research Institute for Liver,PSRI10067,963258807,PSRI@gmail.com,"Reneals and Digestive Diseases, Press Enclave Marg, Sheikh Sarai, Phase-II",56778,987653189,18-10-2009,06:30:51,PSRI,Pushpavati Shinghania Research Institute for Liver
10068,"Cardio Neuro Centre, AIIMS",CNCAIIMS10068,963258808,CNCAIIMS@gmail.com,"AIIMS, Ansari Nagar",56779,987653190,13-11-2009,07:30:51,CNCAIIMS,"Cardio Neuro Centre, AIIMS"
10069,Jan Jagriti Blood bank,JJBB10069,963258809,JJBB@gmail.com,"Mission Jan Jagriti, Blood Bank. C/o Jeevan Anmol Hospital Mayur Vihar Phase I",56780,987653191,09-01-2010,08:30:51,JJBB,Jan Jagriti Blood bank
